Trip ID,Destination,Start date,End date,Duration (days),Accommodation type, Accommodation cost ,Transportation type, Transportation cost 
1,"London, UK",01-06-2027,08-06-2027,7,Hotel," $1,200.00 ",Flight, $600.00 
2,"Phuket, Thailand",15-06-2023,20-06-2023,5,Resort, $800.00 ,Flight, $500.00 
3,"Bali, Indonesia",01-08-2027,08-08-2027,7,Villa," $1,000.00 ",Flight, $700.00 
4,"New York, USA",15-08-2023,29-08-2023,14,Hotel," $2,000.00 ",Flight," $1,000.00 "
5,"Tokyo, Japan",10-10-2027,17-09-2023,7,Airbnb, $700.00 ,Train, $200.00 
6,"Paris, France",05-11-2027,10-11-2027,5,Hotel," $1,500.00 ",Flight, $800.00 
7,"Sydney, Australia",20-11-2023,30-11-2023,10,Hostel, $500.00 ,Flight," $1,200.00 "
8,"Rio de Janeiro, Brazil",05-02-2028,12-02-2028,7,Airbnb, $900.00 ,Flight, $600.00 
9,"Amsterdam, Netherlands",14-02-2024,21-02-2024,7,Hotel," $1,200.00 ",Train, $200 
10,"Dubai, United Arab Emirates",10-04-2028,17-03-2024,7,Resort," $2,500.00 ",Flight, $800.00 
11,"Cancun, Mexico",01-05-2028,08-05-2028,7,Hotel," $1,000.00 ",Flight, $500.00 
12,"Barcelona, Spain",15-05-2024,22-05-2024,7,Airbnb, $800.00 ,Train, $100.00 
13,"Honolulu, Hawaii",10-07-2028,18-06-2024,8,Resort," $3,000.00 ",Flight," $1,200.00 "
14,"Berlin, Germany",01-08-2028,10-08-2028,9,Hotel," $1,400.00 ",Flight, $700.00 
15,"Marrakech, Morocco",20-08-2024,27-08-2024,7,Riad, $600.00 ,Flight, $400.00 
16,"Edinburgh, Scotland",05-10-2028,12-10-2028,7,Hotel, $900.00 ,Train, $150.00 
17,Paris,01-10-2027,10-10-2027,9,Hotel, $700.00 ,Plane, $600.00 
18,Bali,15-08-2023,25-08-2023,10,Resort," $1,500.00 ",Plane, $150.00 
19,London,22-07-2023,28-07-2023,6,Hotel, $500.00 ,Train, $900.00 
20,Tokyo,05-11-2027,15-10-2023,10,Hotel, $900.00 ,Plane, $800.00 
21,New York,20-11-2023,25-11-2023,5,Airbnb," $1,200.00 ",Bus, $700.00 
22,Sydney,13-05-2027,13-12-2027,7,Hotel," $2,500.00 ",Plane, $100.00 
23,Rome,01-12-2027,08-12-2027,7,Airbnb," $1,000.00 ",Train, $600.00 
24,Bangkok,15-09-2023,23-09-2023,8,Hostel, $800.00 ,Plane, $500.00 
25,Paris,22-12-2023,28-12-2023,6,Hotel," $1,200.00 ",Train, $50.00 
26,Hawaii,01-09-2027,10-09-2027,9,Resort, $800.00 ,Plane, $150.00 
27,Barcelona,20-10-2023,28-10-2023,8,Hotel," $1,000.00 ",Train, $700.00 
28,Japan,10-06-2026,18-05-2022,8,Hotel," $2,000.00 ",Plane, $800.00 
29,Thailand,15-06-2022,22-06-2022,7,Hostel, $700.00 ,Train," $1,200.00 "
30,France,02-08-2026,11-08-2026,9,Airbnb," $1,500.00 ",Car rental, $600.00 
31,Australia,20-08-2022,02-10-2026,13,Hotel, $500.00 ,Car rental, $200 
32,Brazil,05-10-2026,14-09-2022,9,Hostel, $900.00 ,Bus, $800.00 
33,Greece,12-11-2026,20-10-2022,8,Airbnb," $1,200.00 ",Plane, $500.00 
34,Egypt,08-12-2026,15-11-2022,7,Hotel," $2,500.00 ",Train, $100.00 
35,Mexico,05-02-2027,15-01-2023,10,Airbnb," $1,000.00 ",Plane," $1,200.00 "
36,Italy,14-02-2023,20-02-2023,6,Hostel," $2,500.00 ",Train, $700.00 
37,Spain,23-03-2023,31-03-2023,8,Hotel," $1,000.00 ",Car rental, $400.00 
38,Canada,19-04-2023,26-04-2023,7,Airbnb, $800.00 ,Bus, $150.00 
39,"Paris, France",12-07-2026,19-06-2022,7,Hotel," $3,000.00 ",Plane, $600.00 
40,"Sydney, Australia",02-02-2027,09-02-2027,7,Airbnb," $1,400.00 ",Train, $150.00 
41,"Tokyo, Japan",13-10-2026,18-12-2022,8,Hostel, $600.00 ,Plane, $900.00 
42,"Cancun, Mexico",01-08-2027,08-08-2027,7,Resort, $900.00 ,Plane, $800.00 
43,"Rio de Janeiro, Brazil",20-11-2022,27-11-2022,7,Hotel, $700.00 ,Plane, $700.00 
44,"London, UK",05-04-2027,12-04-2027,7,Airbnb," $1,500.00 ",Train, $100.00 
45,"Barcelona, Spain",18-08-2023,25-08-2023,7,Hostel, $500.00 ,Plane, $600.00 
46,"New York City, USA",15-09-2022,22-09-2022,7,Hotel, $900.00 ,Plane, $500.00 
47,"Bangkok, Thailand",01-06-2027,07-06-2027,6,Airbnb," $1,200.00 ",Bus, $50.00 
48,"Vancouver, Canada",10-08-2026,17-07-2022,7,Hostel," $2,500.00 ",Train, $150.00 
49,"Amsterdam, Netherlands",20-06-2023,28-06-2023,8,Hotel," $1,000.00 ",Plane, $700.00 
50,"Paris, France",15-08-2023,22-08-2023,7,Hotel, $800.00 ,Train, $150.00 
51,"Tokyo, Japan",10-11-2027,20-10-2023,10,Hostel, $400.00 ,Bus, $700.00 
52,"Sydney, AUS",05-12-2027,12-12-2027,7,Airbnb," $1,500.00 ",Car rental, $800.00 
53,"New York, USA",24-12-2023,31-12-2023,7,Hotel, $700.00 ,Flight," $1,200.00 "
54,"Rio de Janeiro, Brazil",15-01-2024,24-01-2024,9,Airbnb, $100.00 ,Train, $600.00 
55,"Bangkok, Thailand",01-03-2028,09-03-2028,8,Hostel, $800.00 ,Bus, $200 
56,"London, UK",15-03-2024,23-03-2024,8,Hotel, $500.00 ,Train, $800.00 
57,"Barcelona, Spain",05-05-2028,13-04-2024,8,Airbnb," $1,200.00 ",Car rental, $500.00 
58,"Seoul, South Korea",10-06-2028,18-05-2024,8,Hostel, $900.00 ,Subway, $100.00 
59,"Los Angeles, USA",20-06-2024,27-06-2024,7,Hotel, $700.00 ,Car rental," $1,200.00 "
60,"Rome, Italy",15-07-2024,23-07-2024,8,Airbnb, $300.00 ,Train, $700.00 
61,Paris,12-08-2026,18-07-2022,6,Hotel," $1,000.00 ",Plane, $400.00 
62,Tokyo,03-10-2026,10-10-2026,7,Hostel, $400.00 ,Train, $150.00 
63,Cape Town,07-02-2027,16-01-2023,9,Vacation rental, $800.00 ,Car rental, $200.00 
64,Sydney,23-06-2023,29-06-2023,6,Hotel," $1,500.00 ",Plane," $1,200.00 "
65,Barcelona,18-08-2023,25-08-2023,7,Vacation rental, $900.00 ,Plane, $700.00 
66,Bali,01-03-2028,08-03-2028,7,Resort," $2,200.00 ",Plane," $1,000.00 "
67,Paris,06-06-2028,12-06-2028,6,Hotel," $1,100.00 ",Train, $200.00 
68,New York,20-07-2024,26-07-2024,6,Vacation rental," $1,000.00 ",Plane, $800.00 
69,Bangkok,08-10-2028,16-09-2024,8,Hostel, $300.00 ,Plane, $700.00 
70,Rome,14-02-2025,20-02-2025,6,Hotel," $1,300.00 ",Train, $100.00 
71,Bali,21-05-2025,29-05-2025,8,Resort," $1,800.00 ",Plane," $1,000.00 "
73,"Bali, Indonesia",05-09-2026,12-09-2026,7,Resort, $500.00 ,Plane, $800.00 
74,"Tokyo, Japan",01-02-2027,09-02-2027,8,Hotel," $1,000.00 ",Train, $200.00 
75,"Cancun, Mexico",15-04-2023,22-04-2023,7,Resort, $800.00 ,Plane, $500.00 
76,"Paris, France",07-07-2027,14-06-2023,7,Hotel," $1,200.00 ",Plane, $700.00 
77,"Cape Town, SA",01-10-2027,10-10-2027,9,Guesthouse, $400.00 ,Car, $300.00 
78,"Bali, Indonesia",12-12-2027,19-11-2023,7,Resort, $600.00 ,Plane, $700.00 
79,"Sydney, Aus",05-03-2028,12-03-2028,7,Hotel, $900.00 ,Plane, $600.00 
80,"Bangkok, Thai",15-05-2024,22-05-2024,7,Hotel, $400.00 ,Plane, $400.00 
81,"New York, USA",20-08-2024,27-08-2024,7,Hotel," $1,500.00 ",Plane," $1,000.00 "
82,"Phuket, Thai",01-02-2029,08-02-2029,7,Resort, $700.00 ,Plane, $800.00 
83,"Rome, Italy",15-04-2025,22-04-2025,7,Hotel, $100.00 ,Plane, $800.01
84,Paris,15-06-2021,20-06-2021,6,Hotel, $800.00 ,Plane, $500.00 
85,Tokyo,01-08-2025,10-08-2025,10,Airbnb, $500.00 ,Train, $300.00 
86,Bali,10-09-2025,20-08-2021,11,Resort," $1,200.00 ",Plane, $700.00 
87,Sydney,01-10-2025,10-10-2025,9,Hotel, $900.00 ,Plane, $600.00 
88,New York,15-10-2021,20-10-2021,6,Airbnb, $700.00 ,Car rental, $200.00 
89,London,20-11-2021,30-11-2021,11,Hostel, $300.00 ,Plane, $400.00 
90,Dubai,01-02-2026,08-02-2026,8,Hotel," $1,000.00 ",Plane, $800.00 
91,Bangkok,14-02-2022,20-02-2022,7,Airbnb, $400.00 ,Train, $100.00 
92,Rome,10-04-2026,20-03-2022,11,Hostel, $200.00 ,Plane, $350.00 
93,Bali,15-04-2022,25-04-2022,11,Villa," $1,500.00 ",Car rental, $300.00 
94,Seoul,01-06-2026,10-06-2026,10,Hotel, $800.00 ,Train, $150.00 
95,Paris,15-06-2022,20-06-2022,5,Hotel," $1,000.00 ",Plane, $800.00 
96,Tokyo,01-10-2026,10-10-2026,9,Airbnb, $800.00 ,Train, $500.00 
97,Sydney,23-11-2022,13-02-2026,9,Hostel," $1,200.00 ",Plane, $100.00 
98,London,14-02-2023,19-02-2023,5,Hotel, $400.00 ,Plane," $1,200.00 "
99,New York,08-06-2027,14-05-2023,6,Airbnb, $600.00 ,Car rental, $700.00 
100,Rome,20-08-2023,27-08-2023,7,Hotel, $900.00 ,Plane, $400.00 
101,Bangkok,12-12-2027,20-11-2023,8,Hostel, $400.00 ,Train, $150.00 
102,Cape Town,06-02-2028,14-01-2024,8,Airbnb," $1,500.00 ",Plane, $600.00 
103,Rio de Janeiro,03-05-2028,10-05-2028,7,Hotel, $700.00 ,Car rental, $150.00 
104,Bali,22-07-2024,28-07-2024,6,Villa, $100.00 ,Plane, $900.00 
105,Amsterdam,10-11-2028,17-10-2024,7,Hotel, $800.00 ,Train, $800.00 
106,Paris,15-05-2022,20-05-2022,5,Hotel, $500.00 ,Plane, $700.00 
107,Tokyo,01-10-2026,10-10-2026,9,Airbnb," $1,200.00 ",Train, $100.00 
108,New York,20-06-2022,25-06-2022,5,Hotel, $900.00 ,Car rental, $200.00 
109,Bali,12-09-2026,20-08-2022,8,Resort," $1,500.00 ",Plane," $1,200.00 "
110,Sydney,01-08-2026,10-08-2026,9,Hostel, $300.00 ,Plane, $900.00 
111,London,10-07-2026,15-06-2022,5,Hotel, $900.00 ,Train, $150.00 
112,Phuket,05-10-2026,12-10-2026,7,Villa," $2,000.00 ",Plane, $700.00 
113,Rome,01-06-2026,08-06-2026,7,Hotel," $1,100.00 ",Train, $250.00 
114,Santorini,15-07-2022,22-07-2022,7,Airbnb," $1,000.00 ",Ferry, $150.00 
115,Dubai,25-08-2022,30-08-2022,5,Hotel," $1,500.00 ",Car rental, $300.00 
116,Phnom Penh,10-10-2026,15-09-2022,5,Hostel, $200.00 ,Plane, $500.00 
117,"Tokyo, Japan",05-03-2026,14-02-2022,9,Hotel," $1,000.00 ",Plane, $700.00 
118,"Paris, France",15-03-2022,22-03-2022,7,Hotel," $1,200.00 ",Train, $500.00 
119,"Sydney, Aus",01-06-2026,12-06-2026,11,Airbnb, $800.00 ,Plane," $1,000.00 "
120,"Rome, Italy",10-07-2026,17-06-2022,7,Hotel, $900.00 ,Train, $400.00 
121,"Bali, Indonesia",20-07-2022,30-07-2022,10,Hostel, $500.00 ,Plane, $800.00 
122,"Cancun, Mexico",08-09-2026,16-08-2022,8,Hotel," $1,300.00 ",Plane, $600.00 
123,"Athens, Greece",20-09-2022,30-09-2022,10,Airbnb, $700.00 ,Plane, $900.00 
124,"Tokyo, Japan",05-11-2026,13-10-2022,8,Hotel," $1,200.00 ",Plane, $700.00 
125,"Sydney, Aus",11-12-2026,21-11-2022,10,Airbnb, $900.00 ,Plane," $1,000.00 "
126,"Paris, France",24-12-2022,01-02-2027,8,Hostel, $400.00 ,Plane, $700.00 
127,"Bali, Indonesia",10-03-2027,18-02-2023,8,Hotel, $800.00 ,Plane, $800.00 
129,"Paris, France",01-06-2027,07-06-2027,6,Hotel," $5,000.00 ",Airplane," $2,500.00 "
130,"Tokyo, Japan",15-05-2023,22-05-2023,7,Airbnb," $7,000.00 ",Train," $1,500.00 "
131,"Cape Town, South Africa",01-07-2027,10-07-2027,9,Hostel," $3,000.00 ",Car," $2,000.00 "
132,"Sydney, Australia",15-06-2023,21-06-2023,6,Hotel," $6,000.00 ",Airplane," $3,000.00 "
133,"Rome, Italy",01-08-2027,08-08-2027,7,Airbnb," $4,000.00 ",Train," $1,500.00 "
134,"New York City, USA",15-07-2023,22-07-2023,7,Hotel," $8,000.00 ",Airplane," $2,500.00 "
135,"Rio de Janeiro, Brazil",01-09-2027,10-09-2027,9,Hostel," $2,500.00 ",Car," $2,000.00 "
136,"Vancouver, Canada",15-08-2023,21-08-2023,6,Hotel," $5,000.00 ",Airplane," $3,000.00 "
137,"Bangkok, Thailand",01-10-2027,08-10-2027,7,Hostel," $2,000.00 ",Train," $1,000.00 "
138,"Barcelona, Spain",15-09-2023,22-09-2023,7,Airbnb," $6,000.00 ",Airplane," $2,500.00 "
139,"Auckland, New Zealand",01-11-2027,08-11-2027,7,Hotel," $7,000.00 ",Train," $2,500.00 "
